ID,distance
N5469,0.1743821667743578
N35387,0.1800980072781937
N48031,0.1822406457529906
N54348,0.1822756255603778
N25785,0.18287677441619687
N4830,0.18450432139013362
N58936,0.1863897280324267
N3280,0.187389164636794
N42614,0.18746960843561788
N64554,0.18855959770422026
N15034,0.189489646079674
N9158,0.18978920077994754
N64467,0.18990968537915764
N51808,0.19017803285413803
N166,0.19042547328102655
N60985,0.19127159609368927
N770,0.19161950742362766
N64258,0.19171456608702653
N62612,0.19193745229360237
N30071,0.1931862882076496
N47748,0.19331473012474754
N306,0.19360594608514337
N21389,0.19384614839385905
N58363,0.19391406897141117
N23174,0.19437069149761044
N31037,0.1943988942187681
N43353,0.19468072074930454
N20178,0.19510047936268016
N33212,0.19532023938161625
N32670,0.19563893233687524
N14904,0.19614580915685143
N40373,0.1966073021069379
N53296,0.1968143115332306
N55189,0.19699516929807515
N14547,0.19726265973503798
N1258,0.19805824549330742
N11161,0.19845497212929175
N18613,0.19891788577955993
N6244,0.1989763812699631
N31978,0.19915260738044593
N54522,0.19918247866422667
N3433,0.1995740831922692
N17463,0.19961450922934165
N37673,0.19973133696060252
N28257,0.20000817795412595
N47006,0.20012915332327474
N55411,0.20048886342333505
N43142,0.20057097729646778
N23085,0.20057627763025399
N52196,0.20090530272240492
N26607,0.20127404805107973
N6072,0.20132096648350473
N36050,0.20171613267239663
N34567,0.20217256801782224
N32208,0.2022703090038901
N21817,0.20266475835204456
N31699,0.20271713209411513
N11855,0.2029635057500757
N12330,0.20305967017540139
N64983,0.20306014623876845
N27235,0.2030822924272131
N34380,0.20315978275414637
N18064,0.20319309409761854
N18094,0.20341691179022503
N23163,0.20355839437712742
N7809,0.2036801618277172
N50490,0.20381207381733868
N64542,0.20394396629394562
N61249,0.20402453317365166
N13912,0.20455646096733326
N27079,0.2046185926918015
N58710,0.2046634543140171
N14780,0.20466426984928998
N5783,0.2047579380200777
N58625,0.20481681283153108
N28983,0.2051948897036806
N40716,0.2052323643506806
N64049,0.2052395263078589
N15771,0.20534298641449156
N29819,0.20540468189413752
N50754,0.2054187450734899
N2606,0.20563358598575088
N4303,0.20567379515521322
N36621,0.20571705643099936
N47922,0.2057434608106401
N16439,0.20575083233901414
N17099,0.20596973640171157
N43073,0.206153381360085
N619,0.20619781231753576
N60619,0.2062430859864317
N63045,0.20625048947640268
N45099,0.20633155022742855
N58499,0.2063922159859879
N61296,0.20641630533802013
N8129,0.20642038750086722
N12215,0.20642199421228158
N46267,0.20657646004923236
N54449,0.20659378983550014
N26944,0.20665263368261133
N45270,0.2067185926471572
N1398,0.20682241749552754
N17104,0.206909027413559
N9944,0.20698320663861425
N28047,0.2070215837480549
N4807,0.20706284057751734
N42526,0.20715386823399418
N6750,0.2071971527105435
N13137,0.20726228983532258
N4510,0.2073179616280456
N40442,0.20731995723626084
N61101,0.2073689830639076
N12606,0.2073824753252832
N2018,0.2075658376927767
N58091,0.20758383138511916
N61388,0.20759862403050344
N23749,0.20761602454519568
N55742,0.2077801218873001
N52622,0.20782830608738256
N49712,0.20784693840834434
N52865,0.20802190130959863
N32798,0.20802695122326575
N39317,0.2081262167897987
N11087,0.208136948100766
N64096,0.20819923238509563
N6866,0.20835171394768692
N62285,0.20838834295681863
N9271,0.20845596849431636
N17686,0.2085830653913615
N29517,0.20864316330845334
N10438,0.2087760822628304
N39235,0.2088571171611857
N48076,0.20886838316761658
N58836,0.2088863900210144
N36532,0.20893529932889876
N8419,0.20894792281136798
N1569,0.20896822237534463
N15506,0.20910925277929038
N35233,0.20915642911753607
N37774,0.20915807177546142
N49879,0.20917976331276344
N7821,0.20919944136579705
N30035,0.20920488192414477
N58224,0.20926593164012308
N43502,0.20931293825704744
N32607,0.209329495556983
N41011,0.20938698029045433
N26706,0.2095152475564579
N53960,0.2095199177236633
N43608,0.20960841664679952
N58549,0.20961673101741785
N40725,0.20989243518521106
N55833,0.21002662012019757
N26025,0.21007903112951798
N41842,0.210223911522875
N61005,0.210295000133078
N2169,0.21033196357780903
N43374,0.2104635443448064
N5398,0.21054768126191203
N22976,0.21083583398340988
N3392,0.2108573795279377
N46159,0.21092978248100114
N11163,0.21105973603212935
N54501,0.2111666648964543
N5075,0.211177757036773
N45616,0.21121343823258565
N27581,0.21127924514086316
N37509,0.21131863791727712
N65169,0.2116114045688442
N36612,0.21162361117608142
N8959,0.21177751745143625
N55141,0.2118723309800743
N58226,0.2118994624928261
N47205,0.21195691477781753
N29696,0.21201056299076415
N64397,0.21205904168346557
N10671,0.21212772483799447
N18445,0.2121521995829312
N15710,0.21219696687327816
N58715,0.212334010748229
N43670,0.21239538025350024
N49689,0.21240920234239902
N11094,0.21242043959911738
N6890,0.21243918349971158
N64631,0.21257968109675174
N47035,0.21274729251902202
N58133,0.21286837924421842
N24611,0.21302414829092875
N54889,0.2131350650361148
N35656,0.21316030877255565
N46882,0.21325537502731606
N2869,0.21328424843470395
N32759,0.2133037673150856
N48225,0.21344107674762614
N18553,0.21344717343488362
N4015,0.2134854243701918
N24109,0.2134946622604219
N63317,0.21349858622211315
N11796,0.21366180047238903
N45535,0.2137381224547189
N49030,0.21391593050406554
N56638,0.21399048517163466
N21773,0.21399593336436518
N61972,0.2140744449178924
N53436,0.2141197099812271
N59981,0.2141997989578952
N47687,0.21434270115611842
N26378,0.21446593456242835
N60340,0.21457246217450965
N39762,0.21459761454359394
N44559,0.21478666803495994
N55943,0.2148798474346948
N22457,0.21489585499841635
N62599,0.2149471219621928
N48657,0.21499384790266418
N20240,0.2150139014848983
N57034,0.21510889046661885
N42570,0.21525346567573977
N25966,0.21528789880973842
N45729,0.21541388962002572
N24294,0.21557423703105483
N48832,0.2155867090698944
N11967,0.21567310558501118
N7563,0.2157746549363303
N61623,0.2157802649452788
N45389,0.2158279941019724
N5887,0.21588779027071714
N32791,0.21590539001468456
N13657,0.21604396762432487
N1539,0.21618523147933122
N54842,0.2161857514198725
N35452,0.21625448175791295
N5171,0.21627066581995713
N871,0.2163132671687098
N8373,0.21631632774442588
N19347,0.21632362724794063
N42977,0.21645279290736497
N48705,0.21652844512582592
N12042,0.21661986213947781
N52446,0.21666051197887326
N59385,0.21669212221717105
N35729,0.21672683835544138
N40559,0.21677222954968456
N4654,0.21677991468093316
N26331,0.21682262603488733
N37020,0.21688021090217569
N34694,0.21690392548615922
N20678,0.21698611795292433
N2,0.21701364702227743
N54305,0.21705536893355848
N12709,0.21712233089227095
N13231,0.2171440556594646
N43338,0.21715049258974528
N56777,0.2172044032881334
N31931,0.21724724556741282
N11673,0.21726286021276264
N57090,0.21726377971744903
N25258,0.21739878543755398
N20824,0.21742900529295217
N33677,0.21749500123621934
N22570,0.21758599220711383
N7873,0.21762714347607326
N64094,0.21765091342629006
N50258,0.21766009322722124
N41375,0.21772050697311618
N40530,0.21772426941941259
N62933,0.2177482088358731
N45970,0.2178585515983147
N12576,0.2178745232820093
N8275,0.21790839522984384
N44941,0.2179105556042975
N50015,0.21793724995185204
N26130,0.21804649558190692
N50528,0.21812168531038512
N46085,0.2181319730464526
N25165,0.2182010422270826
N23184,0.2182515879364637
N53302,0.21829762265377617
N45704,0.21830469682858367
N58114,0.21845867706341449
N47572,0.21848217264379144
N41089,0.21848719135206418
N38118,0.21850726273429488
N65112,0.2185205613104263
N1034,0.21852957937284867
N12446,0.2185475469762942
N21720,0.21855249303211588
N59704,0.21857816080160353
N29001,0.21859988722403056
N53696,0.21863883329567602
N27192,0.21867824735481678
N45523,0.2186968713023748
N54161,0.21870187667728347
N10688,0.218729176083843
N62055,0.21885953955252113
N33964,0.218878044272108
N58521,0.2188892722455551
N6379,0.21896377740673123
N33985,0.21896866763969314
N4020,0.21899730414692997
N13816,0.21912870227404369
N50469,0.21919083455880273
N6975,0.21936222067827427
N43789,0.2195568052548098
N40509,0.2196690789644089
N32387,0.21973123998110222
N64685,0.2197338222258225
N38512,0.21982872287808397
N21164,0.21984193017848686
N62545,0.21993632588770629
N23614,0.21997515973332415
N35022,0.2200381133656507
N57967,0.22009149671716144
N15269,0.22011967051870707
N46821,0.22014831923026723
N15122,0.22027400145057174
N32087,0.22030430854148908
N63550,0.22034042531823406
N8331,0.22041536308257004
N58553,0.22046854258634596
N19647,0.22050191367641236
N52631,0.2205503676279872
