ID,hybrid
N26378,0.08194303449997731
N10732,0.09484047876446411
N21087,0.1088699601488295
N41087,0.1101970258243784
N5445,0.09762857461337106
N60384,0.1051413974240501
N46616,0.1188283141233941
N52500,0.10611333446287491
N33164,0.11266534539397666
N24233,0.1200147097159259
N62058,0.1131560056297746
N25792,0.10483748948420975
N7563,0.0865979363073321
N18870,0.1194220031411751
N49475,0.0967236004529028
N31801,0.10246455939566201
N19347,0.1011750340057796
N10414,0.10268594000545755
N63302,0.10610708409444139
N18445,0.1062488658810464
N45794,0.09175770678002296
N34694,0.10851999328183379
N42782,0.11091964064314849
N55189,0.10364472855781204
N50014,0.5995253620344572
N33677,0.5851189193322656
N7821,0.5854387028812326
N23877,0.5635682949811691
N17059,0.5891027133742512
N14592,0.5889587510276425
N22407,0.5901313681677727
N42977,0.583383060505647
N20495,0.5669001603411501
N58114,0.5763686469128768
N39317,0.5775777713427794
N20678,0.5808505228228147
N6890,0.5793155594787384
N35389,0.5882699041020573
N23814,0.5945083082725047
N16844,0.6064861691639698
N12330,0.5843341873557366
N38393,0.5868726111573064
N13131,0.5999513231114608
N50592,0.5905911627575634
N50872,0.600430887620722
N29739,0.5782134671503361
N10960,0.596120128825233
N48875,0.5912210911215677
N47346,0.5958314413171739
N38779,0.5736972422103078
N36226,0.5950724411585329
N59495,0.5944105881719619
N40109,0.582039114986769
N37348,0.6008476749699407
N55555,0.5934475238250017
N48722,0.5876111678840307
N5364,0.5972720749625894
N8015,0.5947538061896359
N48017,0.5839970681310032
N46821,0.5782439721956815
N56711,0.5895749718640001
N45509,0.6151056842705207
N48225,0.5771177626390143
N60550,0.5941482861471024
N11817,0.5929456922300798
N64174,0.5637039594619291
N23446,0.593665856740818
N59685,0.5938549891857199
N49712,0.5695766008080407
N62330,0.5781571102016987
N15695,0.5977018478458371
N35729,0.5656830141540418
N55689,0.5812301943554097
N47098,0.5795411747437762
N34333,0.5783764018817392
N51570,0.6002463793378876
