ID,hybrid
N58224,0.0951023485207636
N5398,0.09642625060159099
N4486,0.09834221723960326
N44462,0.11334360340985916
N29802,0.11232942404645216
N13912,0.09606469154462799
N3142,0.10500668171104294
N64467,0.09829520359790406
N55833,0.10360522476138281
N32852,0.10811094523705175
N54225,0.10949314036016386
N34567,0.09985559244233691
N30698,0.10698473848276979
N51163,0.10940379977856754
N59359,0.1052169673556293
N61388,0.09956133765404335
N14761,0.09719991249294019
N47020,0.09399375506644991
N65112,0.10674319871587354
N31699,0.10321708031698851
N25785,0.0988889056839308
N19041,0.1009521931242297
N41011,0.10674438191004784
N21773,0.1011516147016219
N37509,0.1002878774704132
N24611,0.0965661707239229
N35458,0.10754292005215876
N63317,0.10344023513304415
N48742,0.09935756938540724
N2511,0.1016802619705674
N22976,0.10437186311842886
N21164,0.10377223968816185
N61355,0.1071901726085204
N10438,0.1031988858537945
N61101,0.10063351274598756
N37159,0.11459371366143936
N48390,0.0997820710383431
N13231,0.1029128563532268
N29948,0.1030790278320653
N16617,0.10746893790266801
N6087,0.10193851975450424
N31739,0.09484002198286734
N6072,0.1028712958786124
N63045,0.10400001152321439
N23979,0.10407391578190806
N43353,0.09180037860357534
N8129,0.09942370700976494
N17686,0.09614583258479575
N13008,0.11173089357584509
N21623,0.1046924033385829
N14340,0.09494877469725499
N35656,0.09999279840830844
N62285,0.09936781444233711
N48031,0.08802356551612806
N44383,0.10672665274754109
N23061,0.10609237985577949
N16290,0.10311523606122616
N6244,0.1027973328962995
N45099,0.09676658787167375
N2663,0.10569859844942914
N62612,0.09518962116319374
N58715,0.09609316484148589
N59049,0.09897525705331306
N7023,0.11627749696044301
N60384,0.1044533748850448
N5445,0.10815645428989044
N21087,0.11046147625112585
N7563,0.10181886264785135
N25792,0.11177658905214914
N10732,0.1070769474336611
N41087,0.11002269932345625
N46616,0.1207403783743691
N62058,0.1077048700890697
N33164,0.1062309344793502
N24233,0.1297866546914319
N26378,0.09862408947486075
N49475,0.10896842074190655
N18870,0.12907569654947004
N52500,0.11312640574898784
N48225,0.5799299413194045
N64174,0.5822167441217917
N23446,0.589252222416173
N11817,0.591141539619956
N60550,0.5863019819071207
N45509,0.6114936062048256
N50872,0.5981783124952541
N46821,0.581465809781242
N23814,0.5932823657170182
N59495,0.5910270122685483
N36226,0.5910190069421621
N40109,0.5872943564438496
N38779,0.5810436446454947
N47346,0.5914762916398406
N37348,0.597939199719134
N48875,0.5860448560614834
N10960,0.5952624784172124
N29739,0.5801203157670414
N50592,0.5943589464748432
N13131,0.6013692355310236
N38393,0.5917886443523455
N12330,0.5789241741161368
N55555,0.5871297063249883
N48722,0.577886679738332
N5364,0.5964005917997811
N8015,0.5920245069929764
N48017,0.5913985411989163
N56711,0.598075371975541
N59685,0.5916746839503209
N49712,0.5764866404796112
N55689,0.5765439977646865
N35729,0.5854467146538298
N15695,0.5895312994905062
N62330,0.5877664970286383
N34333,0.5918913988308196
N16844,0.6135752116105264
N47098,0.5838033685795052
N39317,0.5715832902105801
N58114,0.5807974045755283
N20495,0.587388448166178
N42977,0.5760104844522742
N22407,0.5929945068221397
N14592,0.5817568816740987
N17059,0.5876082145709296
N33677,0.581414268307411
N7821,0.5785312023603904
N6890,0.583977131984255
N50014,0.59571195914008
N23877,0.5810565814661993
N35389,0.5996620637566569
N20678,0.5765351217319913
N51570,0.5916685238485953
